Stars,Title,PUBCHEM_CONFORMER_RMSD,docking score,glide emodel,glide gscore
,ZINC38492120,,-4.255,-45.172,-4.255
,ZINC47960462,,-4.254,-43.326,-4.996
,ZINC47960462,,-4.254,-43.326,-4.996
,ZINC21077078,,-4.253,-54.66,-4.264
,ZINC39273043,,-4.253,-52.862,-4.264
,ZINC39273043,,-4.253,-52.862,-4.264
,ZINC21127262,,-4.253,-49.698,-4.253
,ZINC63110675,,-4.25,-45.619,-4.25
,ZINC63291715,,-4.249,-45.077,-4.249
,ZINC75532936,,-4.249,-40.276,-4.265
,ZINC39617607,,-4.249,-46.947,-4.468
,ZINC39617607,,-4.249,-46.947,-4.468
,ZINC21077699,,-4.248,-53.524,-4.304
,ZINC41295674,,-4.243,-65.826,-6.123
,ZINC90819716,,-4.241,-44.313,-4.241
,ZINC21078304,,-4.241,-51.633,-4.297
,ZINC16010419,,-4.237,-49.79,-4.237
,ZINC77444627,,-4.237,-42.328,-4.237
,ZINC77444627,,-4.237,-42.328,-4.237
,ZINC15881838,,-4.234,-50.476,-4.671
,ZINC02156318,,-4.233,-44.071,-4.233
,ZINC00829867,,-4.233,-47.057,-4.233
,ZINC92803134,,-4.233,-46.599,-4.684
,ZINC21075699,,-4.231,-62.951,-5.817
,ZINC63772631,,-4.23,-38.302,-4.23
,ZINC93847082,,-4.228,-46.707,-4.453
,ZINC68940098,,-4.227,-42.91,-4.238
,ZINC33364791,,-4.225,-47.733,-4.226
,ZINC55902313,,-4.225,-50.899,-4.313
,ZINC54245436,,-4.223,-45.911,-4.702
,ZINC64338381,,-4.223,-38.3,-4.223
,ZINC39205282,,-4.222,-56.542,-5.113
,ZINC39205282,,-4.222,-56.542,-5.113
