Stars,Title,PUBCHEM_PHARMACOPHORE_FEATURES,docking score,glide emodel,glide gscore,Formula
,ZINC37108244,,-4.191,-48.247,-4.392,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77273272,,-4.187,-78.124,-5.682,
,ZINC77286909,,-4.183,-56.859,-5.731,
,ZINC77286909,,-4.183,-56.859,-5.731,
,ZINC92122468,,-4.182,-39.603,-4.319,
,ZINC92122468,,-4.182,-39.603,-4.319,
,ZINC92122468,,-4.182,-39.603,-4.319,
,ZINC92123706,,-4.179,-40.152,-4.309,
,ZINC92123706,,-4.179,-40.152,-4.309,
,ZINC92121575,,-4.174,-48.232,-4.951,
,ZINC92967660,,-4.174,-38.3,-4.683,
,ZINC39336693,,-4.171,-53.74,-4.19,
,ZINC92107945,,-4.169,-38.296,-4.278,
,ZINC92107945,,-4.169,-38.296,-4.278,
,ZINC64220222,,-4.168,-41.02,-4.168,
,ZINC77291600,,-4.167,-102.166,-6.237,
,ZINC77291600,,-4.167,-102.166,-6.237,
,ZINC73732993,,-4.166,-54.175,-4.561,
,ZINC83251301,,-4.163,-38.506,-4.163,
,ZINC72332893,,-4.153,-78.769,-6.004,
